Rama de actividad CNAE 2009;Sexo;Unidad;Periodo;Total
B_S Todas las secciones;Ambos sexos;Porcentaje;2019T4;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2019T3;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2019T2;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2019T1;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2018T4;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2018T3;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2018T2;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2018T1;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2017T4;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2017T3;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2017T2;100,0
B_S Todas las secciones;Ambos sexos;Porcentaje;2017T1;100,0
B_S Todas las secciones;Hombres;Porcentaje;2019T4;100,0
B_S Todas las secciones;Hombres;Porcentaje;2019T3;100,0
B_S Todas las secciones;Hombres;Porcentaje;2019T2;100,0
B_S Todas las secciones;Hombres;Porcentaje;2019T1;100,0
B_S Todas las secciones;Hombres;Porcentaje;2018T4;100,0
B_S Todas las secciones;Hombres;Porcentaje;2018T3;100,0
B_S Todas las secciones;Hombres;Porcentaje;2018T2;100,0
B_S Todas las secciones;Hombres;Porcentaje;2018T1;100,0
B_S Todas las secciones;Hombres;Porcentaje;2017T4;100,0
B_S Todas las secciones;Hombres;Porcentaje;2017T3;100,0
B_S Todas las secciones;Hombres;Porcentaje;2017T2;100,0
B_S Todas las secciones;Hombres;Porcentaje;2017T1;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2019T4;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2019T3;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2019T2;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2019T1;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2018T4;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2018T3;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2018T2;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2018T1;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2017T4;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2017T3;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2017T2;100,0
B_S Todas las secciones;Mujeres;Porcentaje;2017T1;100,0
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2019T4;4,0
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2019T3;3,8
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2019T2;4,1
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2019T1;4,3
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2018T4;4,2
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2018T3;3,9
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2018T2;4,3
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2018T1;4,4
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2017T4;4,3
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2017T3;4,1
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2017T2;4,4
A Agricultura, ganadería, silvicultura y pesca;Ambos sexos;Porcentaje;2017T1;4,6
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2019T4;5,7
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2019T3;5,3
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2019T2;5,8
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2019T1;6,0
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2018T4;5,9
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2018T3;5,6
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2018T2;5,9
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2018T1;6,2
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2017T4;6,0
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2017T3;5,7
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2017T2;6,1
A Agricultura, ganadería, silvicultura y pesca;Hombres;Porcentaje;2017T1;6,4
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2019T4;1,9
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2019T3;1,9
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2019T2;2,1
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2019T1;2,3
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2018T4;2,2
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2018T3;2,0
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2018T2;2,2
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2018T1;2,3
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2017T4;2,3
