cartodb_id,province,category,counts,salary
1.0,Álava,Administración de empresas,18,21383
1.0,Álava,Atención a clientes,24,15890
1.0,Álava,"Calidad, producción e I+D",34,22369
1.0,Álava,Comercial y ventas,51,23023
1.0,Álava,"Compras, logística y almacén",29,18927
1.0,Álava,Diseño y artes gráficas,2,24750
1.0,Álava,Educación y formación,2,21000
1.0,Álava,Informática y telecomunicaciones,14,25500
1.0,Álava,Ingenieros y técnicos,33,27600
1.0,Álava,Marketing y comunicación,2,18000
1.0,Álava,Otros,43,20022
1.0,Álava,"Profesiones, artes y oficios",31,21894
1.0,Álava,Recursos humanos,5,25500
1.0,Álava,Sanidad y salud,13,31750
1.0,Álava,Turismo y restauración,19,19575
1.0,Álava,Ventas al detalle,22,15000
2.0,Albacete,Administración de empresas,5,13625
2.0,Albacete,Atención a clientes,7,20420
2.0,Albacete,Comercial y ventas,36,23177
2.0,Albacete,"Compras, logística y almacén",6,12600
2.0,Albacete,Informática y telecomunicaciones,10,27000
2.0,Albacete,Ingenieros y técnicos,10,27000
2.0,Albacete,Inmobiliario y construcción,2,16500
2.0,Albacete,Marketing y comunicación,3,12500
2.0,Albacete,Otros,7,21750
2.0,Albacete,"Profesiones, artes y oficios",8,18375
2.0,Albacete,Recursos humanos,2,25500
2.0,Albacete,Sanidad y salud,9,21150
2.0,Albacete,Turismo y restauración,4,17400
2.0,Albacete,Ventas al detalle,4,19800
3.0,Alicante,Administración Pública,3,16500
3.0,Alicante,Administración de empresas,55,16871
3.0,Alicante,Atención a clientes,73,15953
3.0,Alicante,"Calidad, producción e I+D",8,23200
3.0,Alicante,Comercial y ventas,166,23254
3.0,Alicante,"Compras, logística y almacén",31,17950
3.0,Alicante,Diseño y artes gráficas,7,15540
3.0,Alicante,Educación y formación,3,12600
3.0,Alicante,Informática y telecomunicaciones,77,20012
3.0,Alicante,Ingenieros y técnicos,17,20828
3.0,Alicante,Inmobiliario y construcción,32,20473
3.0,Alicante,Legal,8,16280
3.0,Alicante,Marketing y comunicación,20,18716
3.0,Alicante,Otros,64,20746
3.0,Alicante,"Profesiones, artes y oficios",44,17061
3.0,Alicante,Recursos humanos,12,20125
3.0,Alicante,Sanidad y salud,39,22766
3.0,Alicante,Turismo y restauración,88,17661
3.0,Alicante,Ventas al detalle,57,15700
4.0,Almería,Administración de empresas,6,16800
4.0,Almería,Atención a clientes,6,17166
4.0,Almería,Comercial y ventas,47,25522
4.0,Almería,"Compras, logística y almacén",6,14400
4.0,Almería,Educación y formación,2,14400
4.0,Almería,Ingenieros y técnicos,8,27000
4.0,Almería,Marketing y comunicación,5,25500
4.0,Almería,Otros,7,16500
4.0,Almería,"Profesiones, artes y oficios",10,25425
4.0,Almería,Recursos humanos,1,12500
4.0,Almería,Sanidad y salud,8,30350
5.0,Ávila,Comercial y ventas,8,21120
5.0,Ávila,Educación y formación,1,10800
5.0,Ávila,Informática y telecomunicaciones,2,15000
5.0,Ávila,Otros,2,15300
5.0,Ávila,"Profesiones, artes y oficios",3,22500
5.0,Ávila,Sanidad y salud,3,8100
5.0,Ávila,Ventas al detalle,2,21750
6.0,Badajoz,Administración Pública,4,15000
6.0,Badajoz,Atención a clientes,6,17333
6.0,Badajoz,"Calidad, producción e I+D",1,18000
6.0,Badajoz,Comercial y ventas,37,19568
6.0,Badajoz,"Compras, logística y almacén",4,9000
6.0,Badajoz,Informática y telecomunicaciones,8,20250
6.0,Badajoz,Otros,12,17700
6.0,Badajoz,"Profesiones, artes y oficios",9,23266
6.0,Badajoz,Sanidad y salud,5,17700
6.0,Badajoz,Turismo y restauración,8,17100
6.0,Badajoz,Ventas al detalle,2,21600
7.0,Illes Balears,Administración de empresas,75,20434
7.0,Illes Balears,Atención a clientes,99,17117
7.0,Illes Balears,"Calidad, producción e I+D",6,19800
7.0,Illes Balears,Comercial y ventas,141,23368
7.0,Illes Balears,"Compras, logística y almacén",38,17614
7.0,Illes Balears,Diseño y artes gráficas,3,16500
7.0,Illes Balears,Educación y formación,7,12500
7.0,Illes Balears,Finanzas y banca,9,20800
7.0,Illes Balears,Informática y telecomunicaciones,47,25654
7.0,Illes Balears,Ingenieros y técnicos,30,24262
7.0,Illes Balears,Inmobiliario y construcción,40,24576
7.0,Illes Balears,Legal,5,22200
7.0,Illes Balears,Marketing y comunicación,18,19725
7.0,Illes Balears,Otros,86,18648
7.0,Illes Balears,"Profesiones, artes y oficios",87,19017
7.0,Illes Balears,Recursos humanos,11,21000
7.0,Illes Balears,Sanidad y salud,39,18408
7.0,Illes Balears,Turismo y restauración,257,20504
7.0,Illes Balears,Ventas al detalle,82,14908
8.0,Barcelona,Administración Pública,17,24320
8.0,Barcelona,Administración de empresas,847,20306
8.0,Barcelona,Atención a clientes,630,17334
8.0,Barcelona,"Calidad, producción e I+D",250,23651
8.0,Barcelona,Comercial y ventas,1021,24442
8.0,Barcelona,"Compras, logística y almacén",443,21362
8.0,Barcelona,Diseño y artes gráficas,58,20151
8.0,Barcelona,Educación y formación,119,18447
8.0,Barcelona,Finanzas y banca,85,21358
8.0,Barcelona,Informática y telecomunicaciones,680,27675
8.0,Barcelona,Ingenieros y técnicos,377,25179
8.0,Barcelona,Inmobiliario y construcción,191,25589
8.0,Barcelona,Legal,56,25406
8.0,Barcelona,Marketing y comunicación,172,21034
8.0,Barcelona,Otros,733,19931
8.0,Barcelona,"Profesiones, artes y oficios",592,20655
8.0,Barcelona,Recursos humanos,328,22640
8.0,Barcelona,Sanidad y salud,374,21983
